type	Year	Author	title	link
Methodology	2018-11	Walid Matar and Amro Elshurafa	Electricity transmission formulations in multi-sector national planning models: An illustration using the KAPSARC energy model	https://www.sciencedirect.com/science/article/pii/S2352484717302986
Journal	2018-09	Walid Matar	Households' response to changes in electricity pricing schemes: Bridging microeconomic and engineering principles	https://www.sciencedirect.com/science/article/pii/S014098831830358X
Discussion	2018-06	"David Wogan, Frederic Murphy, and Axel Pierru"	The Costs and Gains of Coordinating Electricity Generation in the Gulf Cooperation Council Utilizing the Interconnector	https://www.kapsarc.org/wp-content/uploads/2018/06/KS-2018-DP36-The-Costs-and-Gains-of-Coordinating-Electricity-Generation-in-the-GCC-Utilizing-the-Interconnector.pdf
Discussion	2018-05	"Bertrand Rioux, Philipp Galkin, Frederic Murphy, Axel Pierru, Artem Malov, Felipe Feijoo Palacios, Yan Li, and Kang Wu"	The Economic Impact of Price Controls on China's Natural Gas Supply Chain	https://www.kapsarc.org/wp-content/uploads/2018/05/KS-2018-DP31-The-Economic-Impact-of-Price-Controls-on-China%E2%80%99s-Natural-Gas-Supply-Chain.pdf
Journal	2018-02	"Xunpeng Shi, Bertrand Rioux, and Philipp Galkin"	Unintended consequences of China's coal capacity cut policy	https://doi.org/10.1016/j.enpol.2017.11.034
Journal	2017-10	Walid Matar and Anwer Murad	Jointly reforming the prices of industrial fuels and residential electricity in Saudi Arabia	https://www.sciencedirect.com/science/article/pii/S0301421517304913 
Journal	2017-06	Walid Matar	A look at the response of households to time-of-use electricity pricing in Saudi Arabia and its impact on the wider economy	https://www.sciencedirect.com/science/article/pii/S2211467X17300044 
Journal	2017-06	"Walid Matar, Frederic Murphy, Axel Pierru, Bertrand Rioux, and David Wogan"	Efficient industrial energy use: The first step in transitioning Saudi Arabia's energy mix	https://www.sciencedirect.com/science/article/pii/S0301421517301040
Journal	2017-06	Walid Matar and Amro Elshurafa	Striking a balance between profit and carbon dioxide emissions in the Saudi cement industry	https://www.sciencedirect.com/science/article/pii/S1750583616307782
Journal	2017-06	Amro Elshurafa and Walid Matar	Adding solar PV to the Saudi power system: what is the cost of intermittency?	https://link.springer.com/article/10.1007/s41825-017-0002-7
Journal 	2017-01	"Bertrand Rioux, Philipp Galkin, Frederic Murphy, and Axel Pierru"	"How do Price Caps in China's Electricity Sector Impact the Economics of Coal, Power and Wind? Potential Gains from Reforms"	http://www.iaee.org/en/publications/ejarticle.aspx?id=2904
Journal	2016-11	"Walid Matar, Rodrigo Echeverri, and Axel Pierru"	The prospects for coal-fired power generation in Saudi Arabia	https://www.sciencedirect.com/science/article/pii/S2211467X16300505
Journal	2016-11	"Bertrand Rioux, Philipp Galkin, Frederic Murphy, and Axel Pierru"	Economic impacts of debottlenecking congestion in the Chinese coal supply chain	https://www.sciencedirect.com/science/article/pii/S0140988316302948
Journal	2016-06	Walid Matar	Beyond the end-consumer: how would improvements in residential energy efficiency affect the power sector in Saudi Arabia?	https://link.springer.com/article/10.1007/s12053-015-9392-9
Methodology	2016-05	"Frederic Murphy, Axel Pierru, and Yves Smeers"	A Tutorial on Building Policy Models as Mixed-Complementarity Problems	https://pubsonline.informs.org/doi/10.1287/inte.2016.0842
Journal	2015-05	"Walid Matar, Frederic Murphy, Axel Pierru, and Bertrand Rioux"	Lowering Saudi Arabia's fuel consumption and energy system costs without increasing end consumer prices	https://www.sciencedirect.com/science/article/pii/S0140988315001115 
Discussion	2015-02	"Rodrigo Echeverri, Bertrand  Rioux, Frederick  Murphy, David Wogan, and Axel Pierru"	Coal: Modeling a complex fuel source	https://www.kapsarc.org/wp-content/uploads/2015/10/KS-1515-WB13A-Coal_Modeling-a-complex-fuel-source.pdf
